Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
One minute to midnight	Justice 					3548376	220						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			12	26/04/2013 13:37	1	01/04/2013 20:58		B:\Music\Justice - One minute to midnight.mp3
WALKING ON SUNSHINE	KATRINA & THE WAVES		Top 1000 Pop Hits of the 80's		Pop	5650473	235						04/09/2012 23:21	16/07/2012 21:22	192	44100		MPEG audio file			11	08/05/2013 20:13				B:\Music\KATRINA_%26_THE_WAVES_-_WALKING_ON_SUNSHINE.mp3
Gimme Shelter 	Keith Richards					4516997	282						19/02/2013 19:02	30/11/2012 21:42	128	32000		MPEG audio file			8	09/05/2013 22:23	3	07/05/2013 14:10		B:\Music\Gimme Shelter   Keith Richards (ON VOCALS).mp3
Struggle   	Keith Richards					4078287	254						19/02/2013 19:19	30/11/2012 21:42	128	32000		MPEG audio file			6	14/04/2013 15:22	2	07/05/2013 15:33		B:\Music\Struggle   Keith Richards.mp3
Take It So Hard  	 Keith Richards					3132293	195						19/02/2013 19:19	30/11/2012 21:42	128	32000		MPEG audio file			5	22/04/2013 16:44	2	07/05/2013 14:10		B:\Music\Take It So Hard   Keith Richards.mp3
Too Rude  	 Keith Richards					7176015	448						19/02/2013 19:21	30/11/2012 21:42	128	32000		MPEG audio file			4	12/03/2013 14:21	1	07/05/2013 14:11		B:\Music\Too Rude   Keith Richards.mp3
Demon	Keith Richards   					4586118	286						19/02/2013 19:09	30/11/2012 21:42	128	32000		MPEG audio file			6	09/05/2013 17:04	1	07/05/2013 14:11		B:\Music\Keith Richards   Demon.mp3
Locked Away	Keith Richards    					5606790	350						19/02/2013 19:09	30/11/2012 21:42	128	32000		MPEG audio file			7	09/05/2013 20:31	1	07/05/2013 14:11		B:\Music\Keith Richards    Locked Away.mp3
Ooh La	The Kooks	Hugh Harris/Luke Pritchard/Max Rafferty/Paul Carred/Paul Garred	Inside in Inside Out		Indie	5618633	210			5		2006	04/09/2012 23:27	16/07/2012 21:22	212	44100		MPEG audio file		No comments.	12	23/04/2013 14:55	1	28/02/2013 16:43		B:\Music\Ooh La.mp3
Naive	The Kooks					3346068	208						08/02/2013 23:24	16/07/2012 21:22	128	44100		MPEG audio file			9	23/03/2013 13:37	2	14/04/2013 16:54		B:\Music\Naive.mp3
She Moves In Her Own Way	The Kooks					2728971	170						30/11/2012 21:49	16/07/2012 21:22	128	44100		MPEG audio file			7	08/05/2013 20:05	2	28/02/2013 16:52		B:\Music\She Moves In Her Own Way ).mp3
Suddenly I See	KT Tunstall	KT Tunstall	Eye to The Telescope		Adult Alternative	4847837	201	1		4		2006	04/09/2012 23:21	16/07/2012 21:22	192	44100		MPEG audio file			5	09/05/2013 09:19	1	28/02/2013 16:53		B:\Music\KT Tunstall - Suddenly I See.mp3
You Always Make Me Smile	Kyle Andrews 					2895949	180						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			3	09/05/2013 21:32	1	20/06/2012 22:01		B:\Music\Kyle Andrews You Always Make Me Smile Official Video.mp3
I Want A Little Doggie 	Lena Horne 					3993240	249						30/11/2012 21:47	31/07/2012 20:36	128	44100		MPEG audio file			11	17/04/2013 10:06				B:\Music\Lena Horne - I Want A Little Doggie (Remix).mp3
Dedication to My Ex	Lloyd					2962810	184						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	09/05/2013 18:49	1	07/05/2013 14:12		B:\Music\Lloyd - Dedication to my ex (clean) lyrics on screen.mp3
Dancing In The Street	Martha Reeves & The Vandellas	Marvin Gaye/William Mickey Stevenson/Ivy Jo Hunter	Motown 50 [Disc 1]		R&B	5287935	156	1	3	2	24	1964	30/12/2011 10:58	16/07/2012 21:22	256	44100		AAC audio file			8	10/05/2013 00:58	1	07/05/2013 14:14		B:\Music\Dancing In The Street.m4a
